"TABLE_NAME","COLUMN_NAME","CONSTRAINT_NAME","REFERENCED_TABLE_NAME","REFERENCED_COLUMN_NAME"
benemaxperiod,benefitPlanVersionID,bnMxPrd_bnMx1,benemax,benefitPlanVersionID
benemaxperiod,beneMaxID,bnMxPrd_bnMx1,benemax,beneMaxID
benemaxperioddiagmodifier,benefitPlanVersionID,bnMxPrdDgMdfr_bnMxPrSrvDgMd1,benemaxperservdiagmod,benefitPlanVersionID
benemaxperioddiagmodifier,beneMaxID,bnMxPrdDgMdfr_bnMxPrSrvDgMd1,benemaxperservdiagmod,beneMaxID
benemaxperioddiagmodifier,beneMaxPeriodID,bnMxPrdDgMdfr_bnMxPrSrvDgMd1,benemaxperservdiagmod,beneMaxPeriodID
benemaxperioddiagmodifier,beneMaxPerServDiagModID,bnMxPrdDgMdfr_bnMxPrSrvDgMd1,benemaxperservdiagmod,beneMaxPerServDiagModID
benemaxperiodmodifier,benefitPlanVersionID,bnMxPrdMdfr_bnMxPrSrvPrcMd1,benemaxperservprocmod,benefitPlanVersionID
benemaxperiodmodifier,beneMaxID,bnMxPrdMdfr_bnMxPrSrvPrcMd1,benemaxperservprocmod,beneMaxID
benemaxperiodmodifier,beneMaxPeriodID,bnMxPrdMdfr_bnMxPrSrvPrcMd1,benemaxperservprocmod,beneMaxPeriodID
benemaxperiodmodifier,beneMaxPerServProcModID,bnMxPrdMdfr_bnMxPrSrvPrcMd1,benemaxperservprocmod,beneMaxPerServProcModID
benemaxperiodprocedure,benefitPlanVersionID,bnMxPrdPrcdr_bnMxPrd1,benemaxperiod,benefitPlanVersionID
benemaxperiodprocedure,beneMaxID,bnMxPrdPrcdr_bnMxPrd1,benemaxperiod,beneMaxID
benemaxperiodprocedure,beneMaxPeriodID,bnMxPrdPrcdr_bnMxPrd1,benemaxperiod,beneMaxPeriodID
benemaxperservdiagmod,benefitPlanVersionID,bnMxPrSrvDgMd_bnMxPrd1,benemaxperiod,benefitPlanVersionID
benemaxperservdiagmod,beneMaxID,bnMxPrSrvDgMd_bnMxPrd1,benemaxperiod,beneMaxID
benemaxperservdiagmod,beneMaxPeriodID,bnMxPrSrvDgMd_bnMxPrd1,benemaxperiod,beneMaxPeriodID
benemaxperservprocmod,benefitPlanVersionID,bnMxPrSrvPrcMd_bnMxPrd1,benemaxperiod,benefitPlanVersionID
benemaxperservprocmod,beneMaxID,bnMxPrSrvPrcMd_bnMxPrd1,benemaxperiod,beneMaxID
benemaxperservprocmod,beneMaxPeriodID,bnMxPrSrvPrcMd_bnMxPrd1,benemaxperiod,beneMaxPeriodID
benemaxref,benefitCode,bnMxRf_bnftPlnCd1,benefitplancode,benefitCode
benemaxref,benefitPlanVersionID,bnMxRf_bnftPlnCd1,benefitplancode,benefitPlanVersionID
benemaxref,beneMaxID,bnMxRf_bnMx1,benemax,beneMaxID
benemaxref,codeLevel,bnMxRf_bnftPlnCd1,benefitplancode,codeLevel
benemaxref,tierNumber,bnMxRf_bnftPlnCd1,benefitplancode,tierNumber
benemaxref,version,bnMxRf_bnftPlnCd1,benefitplancode,version
benemaxtier,benefitPlanVersionID,bnMxTr_bnMx1,benemax,benefitPlanVersionID
benemaxtier,beneMaxID,bnMxTr_bnMx1,benemax,beneMaxID
benenetworksched,benefitPlanVersionID,bnNtwrkSchd_bnftPln1,benefitplan,benefitPlanVersionID
benenetworkschedexternalid,benefitPlanVersionID,bnNtwrkSchdxtrnlD_bnftPln1,benefitplan,benefitPlanVersionID
benenetworkschedexternalid,beneNetworkSchedID,bnNtwrkSchdxtrnlD_bnNtwrkSchd1,benenetworksched,beneNetworkSchedID
benenote,benefitPlanVersionID,bnNt_bnftPln1,benefitplan,benefitPlanVersionID
beneplanaddress,benefitPlanVersionID,bnPlnddrss_bnftPln1,benefitplan,benefitPlanVersionID
beneplanaddress,sysAddressID,bnPlnddrss_sysddrss1,sysaddress,sysAddressID
beneplanoverviewtextoverride,benefitCode,bnPlnvrvwTxtvrrd_bnftCd1,benefitcode,benefitCode
beneplanoverviewtextoverride,benefitPlanVersionID,bnPlnvrvwTxtvrrd_bnftPln1,benefitplan,benefitPlanVersionID
beneplanperiodsettings,benefitPlanVersionID,bnPlnPrdSttngs_bnftPln1,benefitplan,benefitPlanVersionID
beneplanphonenumber,benefitPlanVersionID,bnPlnPhnNmbr_bnftPln1,benefitplan,benefitPlanVersionID
beneplanphonenumber,sysPhoneNumberID,bnPlnPhnNmbr_sysPhnNmbr1,sysphonenumber,sysPhoneNumberID
beneplanrelationship,benefitPlanVersionID,bnPlnRltnshp_bnftPln1,benefitplan,benefitPlanVersionID
beneplansettings,benefitPlanVersionID,bnPlnSttngs_bnftPln1,benefitplan,benefitPlanVersionID
beneplansettings,clinicalEditSchedID,bnPlnSttngs_clncldtSchd1,clinicaleditsched,clinicalEditSchedID
beneplansettings,cobSchedID,bnPlnSttngs_cbSchdl1,cobschedule,cobSchedID
beneplansettings,servCompSetID,bnPlnSttngs_srvCmpSt1,servcompset,servCompSetID
beneplansettings,timelyFilingSchedID,bnPlnSttngs_tmlyFlngSchd1,timelyfilingsched,timelyFilingSchedID
benestoplossfamily,benefitPlanVersionID,bnStplssFmly_bnStplssPPrd1,benestoplossoopperiod,benefitPlanVersionID
benestoplossfamily,beneStoplossOOPID,bnStplssFmly_bnStplssPPrd1,benestoplossoopperiod,beneStoplossOOPID
benestoplossfamily,beneStoplossOOPPeriodID,bnStplssFmly_bnStplssPPrd1,benestoplossoopperiod,beneStoplossOOPPeriodID
benestoplossoop,benefitPlanVersionID,bnStplssP_bnftPln1,benefitplan,benefitPlanVersionID
benestoplossoopperiod,benefitPlanVersionID,bnStplssPPrd_bnStplssP1,benestoplossoop,benefitPlanVersionID
benestoplossoopperiod,beneStoplossOOPID,bnStplssPPrd_bnStplssP1,benestoplossoop,beneStoplossOOPID
benestoplossref,benefitCode,bnStplssRf_bnftPlnCd1,benefitplancode,benefitCode
benestoplossref,benefitPlanVersionID,bnStplssRf_bnftPlnCd1,benefitplancode,benefitPlanVersionID
benestoplossref,beneStoplossOOPID,bnStplssRf_bnStplssP1,benestoplossoop,beneStoplossOOPID
benestoplossref,codeLevel,bnStplssRf_bnftPlnCd1,benefitplancode,codeLevel
