"TABLE_NAME","COLUMN_NAME","CONSTRAINT_NAME","REFERENCED_TABLE_NAME","REFERENCED_COLUMN_NAME"
memgroupcontactphoneassign,memGroupContactID,mmGrpCntctPhnssgn_mmGrpCntct1,memgroupcontact,memGroupContactID
memgroupcontactphoneassign,memGroupContactPhoneID,mmGrpCntctPhnssgn_mmGrpCntctPhn1,memgroupcontactphone,memGroupContactPhoneID
memgroupcontactphoneassign,memGroupID,mmGrpCntctPhnssgn_mmGrpCntctssgnmnt1,memgroupcontactassignment,memGroupID
memgroupcontactrole,memGroupContactAssignmentID,mmGrpCntctRl_mmGrpCntctssgnmnt1,memgroupcontactassignment,memGroupContactAssignmentID
memgroupcontactrole,memGroupContactID,mmGrpCntctRl_mmGrpCntctssgnmnt1,memgroupcontactassignment,memGroupContactID
memgroupcontactrole,memGroupID,mmGrpCntctRl_mmGrpCntctssgnmnt1,memgroupcontactassignment,memGroupID
memgroupcontract,memGroupID,mmGrpCntrct_mmGrp1,memgroup,memGroupID
memgroupcontractaccumsettings,memGroupContractID,mmGrpCntrctccmSttngs_mmGrpCntrct1,memgroupcontract,memGroupContractID
memgroupcontractaccumsettings,memGroupID,mmGrpCntrctccmSttngs_mmGrp1,memgroup,memGroupID
memgroupcontractaffil,memGroupContractID,mmGrpCntrctffl_mmGrpCntrct1,memgroupcontract,memGroupContractID
memgroupcontractaffil,memGroupID,mmGrpCntrctffl_mmGrp1,memgroup,memGroupID
memgroupcontractaffilconfig,memGroupContractAffilID,mmGrpCntrctfflCnfg_mmGrpCntrctffl1,memgroupcontractaffil,memGroupContractAffilID
memgroupcontractaffilcopyhx,memGroupContractAffilID,mmGrpCntrctfflCpyHx_mmGrpCntrctffl1,memgroupcontractaffil,memGroupContractAffilID
memgroupcontractaffilopt,memGroupContractAffilID,mmGrpCntrctfflpt_mmGrpCntrctffl1,memgroupcontractaffil,memGroupContractAffilID
memgroupcontractaffilopt,memGroupID,mmGrpCntrctfflpt_mmGrpCntrctffl1,memgroupcontractaffil,memGroupID
memgroupcontractaffiltype,memGroupContractAffilID,mmGrpCntrctfflTyp_mmGrpCntrctffl1,memgroupcontractaffil,memGroupContractAffilID
memgroupcontractaffiltype,memGroupContractID,mmGrpCntrctfflTyp_mmGrpCntrct1,memgroupcontract,memGroupContractID
memgroupcontractaffiltype,memGroupID,mmGrpCntrctfflTyp_mmGrpCntrctffl1,memgroupcontractaffil,memGroupID
memgroupcontractbillingpref,billingMemGroupID,mmGrpCntrctBllngPrf_mmGrp1,memgroup,memGroupID
memgroupcontractbillingpref,memGroupContractID,mmGrpCntrctBllngPrf_mmGrpCntrct1,memgroupcontract,memGroupContractID
memgroupcontractbillingpref,memGroupID,mmGrpCntrctBllngPrf_mmGrpCntrct1,memgroupcontract,memGroupID
memgroupcontractdistchannel,memGroupContractID,mmGrpCntrctDstChnnl_mmGrpCntrct1,memgroupcontract,memGroupContractID
memgroupcontractdistchannel,memGroupID,mmGrpCntrctDstChnnl_mmGrpCntrct1,memgroupcontract,memGroupID
memgroupcontractevent,memGroupContractID,mmGrpCntrctvnt_mmGrpCntrct1,memgroupcontract,memGroupContractID
memgroupcontractevent,memGroupID,mmGrpCntrctvnt_mmGrp1,memgroup,memGroupID
memgroupcontracteventdetail,memGroupContractEventID,mmGrpCntrctvntDtl_mmGrpCntrctvnt1,memgroupcontractevent,memGroupContractEventID
memgroupcontracteventdetail,memGroupContractID,mmGrpCntrctvntDtl_mmGrpCntrct1,memgroupcontract,memGroupContractID
memgroupcontracteventdetail,memGroupID,mmGrpCntrctvntDtl_mmGrp1,memgroup,memGroupID
memgroupcontractextid,memGroupContractID,mmGrpCntrctxtD_mmGrpCntrct1,memgroupcontract,memGroupContractID
memgroupcontractextid,memGroupID,mmGrpCntrctxtD_mmGrpCntrct1,memgroupcontract,memGroupID
memgroupcontractgovtreport,memGroupContractID,mmGrpCntrctGvtRprt_mmGrpCntrctPlnptn1,memgroupcontractplanoption,memGroupContractID
memgroupcontractgovtreport,memGroupContractOptID,mmGrpCntrctGvtRprt_mmGrpCntrctPlnptn1,memgroupcontractplanoption,memGroupContractOptID
memgroupcontractgovtreport,memGroupContractPlanOptionID,mmGrpCntrctGvtRprt_mmGrpCntrctPlnptn1,memgroupcontractplanoption,memGroupContractPlanOptionID
memgroupcontractgovtreport,memGroupID,mmGrpCntrctGvtRprt_mmGrpCntrctPlnptn1,memgroupcontractplanoption,memGroupID
memgroupcontractmigration,memGroupContractID,mmGrpCntrctMgrtn_mmGrpCntrct1,memgroupcontract,memGroupContractID
memgroupcontractmigration,memGroupID,mmGrpCntrctMgrtn_mmGrpCntrct1,memgroupcontract,memGroupID
memgroupcontractopenenroll,memGroupContractID,mmGrpCntrctpnnrll_mmGrpCntrctpt1,memgroupcontractopt,memGroupContractID
memgroupcontractopenenroll,memGroupContractOptID,mmGrpCntrctpnnrll_mmGrpCntrctpt1,memgroupcontractopt,memGroupContractOptID
memgroupcontractopenenroll,memGroupID,mmGrpCntrctpnnrll_mmGrpCntrctpt1,memgroupcontractopt,memGroupID
memgroupcontractopt,memGroupContractID,mmGrpCntrctpt_mmGrpCntrct1,memgroupcontract,memGroupContractID
memgroupcontractopt,memGroupID,mmGrpCntrctpt_mmGrpCntrct1,memgroupcontract,memGroupID
memgroupcontractoptcontribut,memGroupContractID,mmGrpCntrctptCntrbt_mmGrpCntrctpt1,memgroupcontractopt,memGroupContractID
memgroupcontractoptcontribut,memGroupContractOptID,mmGrpCntrctptCntrbt_mmGrpCntrctpt1,memgroupcontractopt,memGroupContractOptID
memgroupcontractoptcontribut,memGroupID,mmGrpCntrctptCntrbt_mmGrpCntrctpt1,memgroupcontractopt,memGroupID
memgroupcontractopthold,memGroupContractOptID,mmGrpCntrctptHld_mmGrpCntrctpt1,memgroupcontractopt,memGroupContractOptID
memgroupcontractoptinsrule,memGroupContractID,mmGrpCntrctptnsRl_mmGrpCntrctpt1,memgroupcontractopt,memGroupContractID
memgroupcontractoptinsrule,memGroupContractOptID,mmGrpCntrctptnsRl_mmGrpCntrctpt1,memgroupcontractopt,memGroupContractOptID
memgroupcontractoptinsrule,memGroupID,mmGrpCntrctptnsRl_mmGrpCntrctpt1,memgroupcontractopt,memGroupID
memgroupcontractoptinsrulecstm,memGroupContractID,mmGrpCntrctptnsRlCstm_mmGrpCntrctptnsRl1,memgroupcontractoptinsrule,memGroupContractID
memgroupcontractoptinsrulecstm,memGroupContractOptID,mmGrpCntrctptnsRlCstm_mmGrpCntrctptnsRl1,memgroupcontractoptinsrule,memGroupContractOptID
memgroupcontractoptinsrulecstm,memGroupContractOptInsRuleID,mmGrpCntrctptnsRlCstm_mmGrpCntrctptnsRl1,memgroupcontractoptinsrule,memGroupContractOptInsRuleID
memgroupcontractoptinsrulecstm,memGroupID,mmGrpCntrctptnsRlCstm_mmGrpCntrctptnsRl1,memgroupcontractoptinsrule,memGroupID
memgroupcontractoptplanyear,memGroupContractID,mmGrpCntrctptPlnYr_mmGrpCntrctpt1,memgroupcontractopt,memGroupContractID
memgroupcontractoptplanyear,memGroupContractOptID,mmGrpCntrctptPlnYr_mmGrpCntrctpt1,memgroupcontractopt,memGroupContractOptID
